param,value,error
baseline,-11.673899812505194,139.16933029210279
gauss_1_amplitude,4.214045042020492,0.31244595779865564
gauss_1_mu,14.803728138359572,0.2025175391802912
gauss_1_sigma,3.5638345600703034,0.24485017861834157
gauss_2_amplitude,14.085596761440701,138.9200081072916
gauss_2_mu,17.774143077039678,0.5978180940805946
gauss_2_sigma,36.38580704312968,192.0010981661138
sigma_x,1.0,0.0
chi2,80.83065961298638,0.0
dof,29,0.0
chi2_reduced,2.7872641245857372,0.0
rmse,0.2740510243486326,0.0
