param,value,error
baseline,-74.66309440077606,1892.8074959432167
gauss_1_amplitude,35.12335516306404,1.200852028056186
gauss_1_mu,20.317406255385222,0.060251780510246086
gauss_1_sigma,4.395070103448342,0.12771348836558274
gauss_2_amplitude,81.78546091343787,1891.662405167529
gauss_2_mu,21.115350248719785,0.6895006765224836
gauss_2_sigma,68.9999853830988,828.4461416512073
sigma_x,1.0,0.0
chi2,29.74724560971369,0.0
dof,40,0.0
chi2_reduced,0.7436811402428423,0.0
rmse,0.825702864988273,0.0
