param,value,error
baseline,-1.6583859141208783,4.972943521870246
gauss_1_amplitude,39.33998181271096,1.2256462006852051
gauss_1_mu,19.35668484372613,0.03975439688851578
gauss_1_sigma,3.7935326874930864,0.08692828395582523
gauss_2_amplitude,13.772343758352893,3.884801702306895
gauss_2_mu,20.181605959241764,0.26009493107114806
gauss_2_sigma,14.680788758856703,4.886244177434781
sigma_x,1.0,0.0
chi2,11.80096219609022,0.0
dof,36,0.0
chi2_reduced,0.32780450544695056,0.0
rmse,0.6095395365121615,0.0
