param,value,error
baseline,2.93039007538264,0.4047848420564932
gauss_1_amplitude,43.532440155720494,2.0949485757920256
gauss_1_mu,28.35988303802663,0.05272783237615646
gauss_1_sigma,3.753075612695047,0.11032278344735172
gauss_2_amplitude,17.624333383332637,1.9448328019883276
gauss_2_mu,27.47851058090656,0.2119808438098914
gauss_2_sigma,8.922392103346436,0.6592270100573391
sigma_x,1.0,0.0
chi2,112.69803505157392,0.0
dof,46,0.0
chi2_reduced,2.449957283729868,0.0
rmse,0.7850492790101841,0.0
