section,n_gauss,param,value
best_model,2,baseline,0.230053638767
best_model,2,baseline_error,0.0909573038795
best_model,2,rss,8.93030887799
best_model,2,aic,-103.206795746
best_model,2,bic,-88.4306786968
best_model,2,sigma_x,1
best_model,2,chi2,1273775.07895
best_model,2,dof,54
best_model,2,chi2_reduced,23588.4273879
best_model,2,gauss_1_amplitude,3.72397048715
best_model,2,gauss_1_amplitude_error,0.151091055317
best_model,2,gauss_1_mu,27.2721775203
best_model,2,gauss_1_mu_error,0.317798061737
best_model,2,gauss_1_sigma,7.50556209656
best_model,2,gauss_1_sigma_error,0.409199148377
best_model,2,gauss_2_amplitude,1.02803621982e-10
best_model,2,gauss_2_amplitude_error,0.414897592215
best_model,2,gauss_2_mu,9.36402843289e-14
best_model,2,gauss_2_mu_error,0
best_model,2,gauss_2_sigma,0.500000000359
best_model,2,gauss_2_sigma_error,0

section,n_gauss,param,value
candidate_model,2,baseline,0.230053638767
candidate_model,2,baseline_error,0.0909573038795
candidate_model,2,rss,8.93030887799
candidate_model,2,aic,-103.206795746
candidate_model,2,bic,-88.4306786968
candidate_model,2,sigma_x,1
candidate_model,2,chi2,1273775.07895
candidate_model,2,dof,54
candidate_model,2,chi2_reduced,23588.4273879
