section,n_gauss,param,value
best_model,2,baseline,-1.65729442122
best_model,2,baseline_error,4.97147393792
best_model,2,rss,15.9761532012
best_model,2,aic,-28.5744259973
best_model,2,bic,-16.2460251874
best_model,2,sigma_x,1
best_model,2,chi2,11.8006773462
best_model,2,dof,36
best_model,2,chi2_reduced,0.327796592949
best_model,2,gauss_1_amplitude,13.7715223346
best_model,2,gauss_1_amplitude_error,3.88332149197
best_model,2,gauss_1_mu,20.1816095073
best_model,2,gauss_1_mu_error,0.260093275652
best_model,2,gauss_1_sigma,14.6797010633
best_model,2,gauss_1_sigma_error,4.88514565101
best_model,2,gauss_2_amplitude,39.3397325582
best_model,2,gauss_2_amplitude_error,1.22569370505
best_model,2,gauss_2_mu,19.3566804151
best_model,2,gauss_2_mu_error,0.0397550496518
best_model,2,gauss_2_sigma,3.79351728719
best_model,2,gauss_2_sigma_error,0.086929906747

section,n_gauss,param,value
candidate_model,2,baseline,-1.65729442122
candidate_model,2,baseline_error,4.97147393792
candidate_model,2,rss,15.9761532012
candidate_model,2,aic,-28.5744259973
candidate_model,2,bic,-16.2460251874
candidate_model,2,sigma_x,1
candidate_model,2,chi2,11.8006773462
candidate_model,2,dof,36
candidate_model,2,chi2_reduced,0.327796592949
