section,n_gauss,param,value
best_model,2,baseline,1.71815980589
best_model,2,baseline_error,1.83068398159
best_model,2,rss,59.4574148905
best_model,2,aic,24.274847805
best_model,2,bic,37.3732548813
best_model,2,sigma_x,1
best_model,2,chi2,42.1476969472
best_model,2,dof,41
best_model,2,chi2_reduced,1.02799260847
best_model,2,gauss_1_amplitude,29.4820345419
best_model,2,gauss_1_amplitude_error,2.38351584876
best_model,2,gauss_1_mu,23.3682518113
best_model,2,gauss_1_mu_error,0.0990799116535
best_model,2,gauss_1_sigma,3.79269854573
best_model,2,gauss_1_sigma_error,0.214512317126
best_model,2,gauss_2_amplitude,9.86599666995
best_model,2,gauss_2_amplitude_error,1.47377422161
best_model,2,gauss_2_mu,22.7983142807
best_model,2,gauss_2_mu_error,0.512825606841
best_model,2,gauss_2_sigma,11.1701527159
best_model,2,gauss_2_sigma_error,3.37971705968

section,n_gauss,param,value
candidate_model,2,baseline,1.71815980589
candidate_model,2,baseline_error,1.83068398159
candidate_model,2,rss,59.4574148905
candidate_model,2,aic,24.274847805
candidate_model,2,bic,37.3732548813
candidate_model,2,sigma_x,1
candidate_model,2,chi2,42.1476969472
candidate_model,2,dof,41
candidate_model,2,chi2_reduced,1.02799260847
