section,n_gauss,param,value
best_model,2,baseline,-74.6629794697
best_model,2,baseline_error,1892.81578516
best_model,2,rss,32.0439054021
best_model,2,aic,-4.00290798795
best_model,2,bic,8.94812522402
best_model,2,sigma_x,1
best_model,2,chi2,29.7472653351
best_model,2,dof,40
best_model,2,chi2_reduced,0.743681633377
best_model,2,gauss_1_amplitude,35.1233567683
best_model,2,gauss_1_amplitude_error,1.20084048902
best_model,2,gauss_1_mu,20.3174063986
best_model,2,gauss_1_mu_error,0.0602518122871
best_model,2,gauss_1_sigma,4.39507093953
best_model,2,gauss_1_sigma_error,0.127713642324
best_model,2,gauss_2_amplitude,81.7853422861
best_model,2,gauss_2_amplitude_error,1891.6706985
best_model,2,gauss_2_mu,21.1153495742
best_model,2,gauss_2_mu_error,0.68950708367
best_model,2,gauss_2_sigma,68.9999738156
best_model,2,gauss_2_sigma_error,828.450733117

section,n_gauss,param,value
candidate_model,2,baseline,-74.6629794697
candidate_model,2,baseline_error,1892.81578516
candidate_model,2,rss,32.0439054021
candidate_model,2,aic,-4.00290798795
candidate_model,2,bic,8.94812522402
candidate_model,2,sigma_x,1
candidate_model,2,chi2,29.7472653351
candidate_model,2,dof,40
candidate_model,2,chi2_reduced,0.743681633377
