tension,fichier,x_max_data_px,max_data_gray,max_data_gray_error,x_max_fit_px,max_fit_gray,gauss_1_sigma,gauss_1_sigma_error,gauss_2_sigma,gauss_2_sigma_error,chi2,chi2_reduced,sigma_x_px
5600,5600-40.csv,26.0,1.82222,0.10114179997374965,22.212737579193064,1.7859660653030067,5.611731402441868,0.2156104224277056,2.033236595735406,1.701697257809084,3071.6188276283374,80.83207441127203,1.0
5620,5620-40.csv,26.0,4.78261,0.2701116805732169,26.888962987662552,4.520596239912491,3.3929533305663266,0.45881907103484293,11.93945583388202,1.5333542646852107,1072.5987313694611,19.862939469804836,1.0
5640,5640-40.csv,14.0,6.71739,0.2740510243486326,14.891630543514504,6.580329477861156,3.5638345600703034,0.24485017861834157,36.38580704312968,192.0010981661138,80.83065961298638,2.7872641245857372,1.0
5660,5660-40.csv,18.0,19.0,0.5261244005541907,18.18539513171057,18.909008900408033,5.064476281737417,0.21132842720831754,55.49999999903612,2739.3666606421107,705.4213903838383,22.755528722059303,1.0
5680,5680-40.csv,25.0,19.5833,0.4086011719386462,24.740913637879295,19.22917533747266,1.8350858712928229,0.22861432346131635,5.251535256667266,0.1336085367708814,1274129.6017264049,31853.24004316012,1.0
5700,5700-40.csv,21.0,27.7368,0.8085336631283806,19.872624208069357,28.47681915167328,4.47169039028374,0.20868412352661544,52.51194907626893,531.7370826038032,221.40073777889782,6.150020493858273,1.0
5720,5720-40.csv,19.0,32.5909,1.408958668486937,20.274091363787928,31.15252556852324,4.373961377858401,0.14739640942102714,0.5000000110162917,0.0,286852074.8561084,7752758.779894822,1.0
5740,5740-40.csv,25.0,41.0488,1.1129672696525297,23.351117039013,41.05382553678682,3.792691887729595,0.2145130485125708,11.17008036860124,3.379647580115696,42.14831474869145,1.0280076767973523,1.0
5760,5760-40.csv,19.0,51.5278,0.6095395365121615,19.382460820273426,51.43264193923285,3.7935326874930864,0.08692828395582523,14.680788758856703,4.886244177434781,11.80096219609022,0.32780450544695056,1.0
5780,5780-40.csv,21.0,42.74,0.825702864988273,20.323441147049017,42.240302339801005,4.395070103448342,0.12771348836558274,68.9999853830988,828.4461416512073,29.74724560971369,0.7436811402428423,1.0
5800,5800-40.csv,28.0,63.619,0.7850492790101841,28.2974324774925,64.0070590547864,3.753075612695047,0.11032278344735172,8.922392103346436,0.6592270100573391,112.69803505157392,2.449957283729868,1.0
