param,value,error
baseline,0.22027584153382798,138.9442987663952
gauss_1_amplitude,17.10295795500861,0.8047765482380219
gauss_1_mu,18.174659504219616,0.13910863401644424
gauss_1_sigma,5.064476281737417,0.21132842720831754
gauss_2_amplitude,1.6796050630722907,139.1156404200962
gauss_2_mu,36.999999990562145,256.9414832342037
gauss_2_sigma,55.49999999903612,2739.3666606421107
sigma_x,1.0,0.0
chi2,705.4213903838383,0.0
dof,31,0.0
chi2_reduced,22.755528722059303,0.0
rmse,0.5261244005541907,0.0
