param,value,error
baseline,-0.1306461815331854,0.16730729574213518
gauss_1_amplitude,2.1716334096442598,0.2927486515756507
gauss_1_mu,26.807181889188996,0.28310348070438895
gauss_1_sigma,3.3929533305663266,0.45881907103484293
gauss_2_amplitude,2.488376125089303,0.22563395927695207
gauss_2_mu,27.855264611382015,0.4760299858818825
gauss_2_sigma,11.93945583388202,1.5333542646852107
sigma_x,1.0,0.0
chi2,1072.5987313694611,0.0
dof,54,0.0
chi2_reduced,19.862939469804836,0.0
rmse,0.2701116805732169,0.0
