param,value,error
baseline,1.718191184333263,1.8306418216927827
gauss_1_amplitude,29.48197786525757,2.383530092166251
gauss_1_mu,23.368250726510603,0.09908008956272417
gauss_1_sigma,3.792691887729595,0.2145130485125708
gauss_2_amplitude,9.866031639141042,1.4737938189785464
gauss_2_mu,22.798321868269547,0.5128223618232173
gauss_2_sigma,11.17008036860124,3.379647580115696
sigma_x,1.0,0.0
chi2,42.14831474869145,0.0
dof,41,0.0
chi2_reduced,1.0280076767973523,0.0
rmse,1.1129672696525297,0.0
