param,value,error
baseline,0.0005682578956186483,0.03771733440963296
gauss_1_amplitude,1.7853978180892591,0.05223319450450079
gauss_1_mu,22.21212372102522,0.1562878694399741
gauss_1_sigma,5.611731402441868,0.2156104224277056
gauss_2_amplitude,0.10875511530544661,0.07663843233443338
gauss_2_mu,39.53890777855617,1.560891961034797
gauss_2_sigma,2.033236595735406,1.701697257809084
sigma_x,1.0,0.0
chi2,3071.6188276283374,0.0
dof,38,0.0
chi2_reduced,80.83207441127203,0.0
rmse,0.10114179997374965,0.0
