tension,debit,n_mesures,max_fit_gray_mean,max_fit_gray_std,max_fit_gray_err_utilisee,sigma_dominante_px_mean,sigma_dominante_px_std,sigma_dominante_fit_error_mean,fwhm_dominante_px_mean,fwhm_dominante_px_std,fwhm_dominante_fit_error_mean,fwhm_dominante_err_utilisee,chi2_reduced_mean,chi2_reduced_std,rmse_mean,sigma_x_px_mean,pixel_min,pixel_max
5600.0,40.0,1,1.7859660653030067,0.0,0.10114179997374965,5.611731402441868,0.0,0.2156104224277056,13.214617593799753,0.0,0.5077237446503516,0.5077237446503516,80.83207441127203,0.0,0.10114179997374965,1.0,,
5620.0,40.0,1,4.520596239912491,0.0,0.2701116805732169,11.93945583388202,0.0,1.5333542646852107,28.11526992438709,0.0,3.610773358614426,3.610773358614426,19.862939469804836,0.0,0.2701116805732169,1.0,,
5640.0,40.0,1,6.580329477861156,0.0,0.2740510243486326,36.38580704312968,0.0,192.0010981661138,85.68202777979006,0.0,452.1280346295198,452.1280346295198,2.7872641245857372,0.0,0.2740510243486326,1.0,,
5660.0,40.0,1,18.909008900408033,0.0,0.5261244005541907,5.064476281737417,0.0,0.21132842720831754,11.92593026581908,0.0,0.49764041647501,0.49764041647501,22.755528722059303,0.0,0.5261244005541907,1.0,,
5680.0,40.0,1,19.22917533747266,0.0,0.4086011719386462,5.251535256667266,0.0,0.1336085367708814,12.36642048958683,0.0,0.31462406057532616,0.31462406057532616,31853.24004316012,0.0,0.4086011719386462,1.0,,
5700.0,40.0,1,28.47681915167328,0.0,0.8085336631283806,52.51194907626893,0.0,531.7370826038032,123.65619028844252,0.0,1252.1451408017135,1252.1451408017135,6.150020493858273,0.0,0.8085336631283806,1.0,,
5720.0,40.0,1,31.15252556852324,0.0,1.408958668486937,4.373961377858401,0.0,0.14739640942102714,10.299891928772153,0.0,0.3470920194702234,0.3470920194702234,7752758.779894822,0.0,1.408958668486937,1.0,,
5740.0,40.0,1,41.05382553678682,0.0,1.1129672696525297,3.792691887729595,0.0,0.2145130485125708,8.931106881851921,0.0,0.5051396265580982,0.5051396265580982,1.0280076767973523,0.0,1.1129672696525297,1.0,,
5760.0,40.0,1,51.43264193923285,0.0,0.6095395365121615,3.7935326874930864,0.0,0.08692828395582523,8.933086813988847,0.0,0.20470046553931953,0.20470046553931953,0.32780450544695056,0.0,0.6095395365121615,1.0,,
5780.0,40.0,1,42.240302339801005,0.0,0.825702864988273,68.9999853830988,0.0,828.4461416512073,162.48254868696358,0.0,1950.8415805888121,1950.8415805888121,0.7436811402428423,0.0,0.825702864988273,1.0,,
5800.0,40.0,1,64.0070590547864,0.0,0.7850492790101841,3.753075612695047,0.0,0.11032278344735172,8.837817683291108,0.0,0.25979030188543245,0.25979030188543245,2.449957283729868,0.0,0.7850492790101841,1.0,,
